ID,BuildingType,NumFloors,LandUse,latitude,longitude
2,,1.0,09,40.690425355848404,-73.99929276272304
3,,0.0,11,40.690898187567534,-73.99825140469527
4,,0.0,,40.690345124034764,-73.99705770522738
5,,0.0,11,40.690442130510874,-73.99759358421359
6,,0.0,11,40.690681301285785,-73.99754989414502
7,,4.0,02,40.690782120626984,-73.99728600933761
8,,4.0,02,40.69075551403549,-73.99719008302178
9,,5.0,02,40.69073233205819,-73.99710650070502
10,,3.0,04,40.690650108293056,-73.99681005498384
11,,4.0,04,40.69056106895655,-73.99648903769439
12,,5.0,04,40.69012286767934,-73.99623974944484
13,,5.0,04,40.69018964636667,-73.99620761050723
14,,4.0,04,40.69025487868381,-73.99617616511138
15,,4.0,02,40.69031966642972,-73.99614493588057
16,,4.0,02,40.69039637678229,-73.9958268923835
17,,4.0,04,40.69026565306274,-73.99535279198851
18,,4.0,04,40.690245430216386,-73.99528144877213
19,,4.0,04,40.69022580665995,-73.99521053545466
20,,4.0,04,40.69020674458625,-73.99514165556573
21,,4.0,04,40.69018681465585,-73.9950696415089
22,,4.0,04,40.690166344349954,-73.99499567123276
23,,4.0,04,40.69014636840995,-73.99492348721616
24,,4.0,04,40.69012655856012,-73.99485190379244
25,,4.0,04,40.69010638939555,-73.99477902588102
26,,4.0,02,40.690086196590165,-73.99470606378357
27,,4.0,04,40.69006291832696,-73.99462451676133
28,,5.0,02,40.689948694801764,-73.99480798700515
29,,5.0,02,40.689816958268715,-73.99487081859147
30,,4.0,02,40.68990658726751,-73.995053145985
31,,4.0,02,40.68992939016945,-73.9951354898459
32,,4.0,02,40.689952651711735,-73.99521949410115
33,,3.0,02,40.68997597027102,-73.99530370195885
34,,3.0,01,40.690000367046096,-73.99539180742357
35,,3.5,02,40.69002426454074,-73.99547810356843
36,,3.0,02,40.690046007336036,-73.99555662913225
37,,3.5,02,40.69012676366864,-73.99584826344659
38,,4.0,02,40.69014696914636,-73.9959212346985
39,,4.0,04,40.69016712023605,-73.99599400584957
40,,5.0,04,40.69023011272929,-73.99562636169877
41,,0.0,04,40.69046153353171,-73.99606233271088
42,,3.5,02,40.68961499374496,-73.99442222752084
43,,3.5,02,40.68966381693851,-73.99434384822403
44,,3.5,02,40.68972074192369,-73.99431492474238
45,,3.5,02,40.68977922758493,-73.99428710467683
46,,4.0,06,40.689896482672474,-73.99408912358726
47,,3.0,04,40.68986409500336,-73.9939260853718
48,,4.0,04,40.68984355098491,-73.99385145896032
49,,4.0,04,40.68982295391479,-73.99377669028213
50,,4.0,04,40.68980228343323,-73.9937016345117
51,,3.0,04,40.68978166195969,-73.99362689534647
52,,4.0,04,40.6897610740999,-73.99355108241714
53,,1.0,05,40.68954644272599,-73.99286499537463
54,,3.0,04,40.68932747640964,-73.99285899308927
55,,3.0,04,40.68925093985022,-73.99289572851225
56,,3.0,04,40.689200170140154,-73.99292009709464
57,,1.0,05,40.689421389102314,-73.99330251713954
58,,3.0,01,40.68948270889428,-73.9935261688524
59,,2.0,01,40.689530118184436,-73.99369908134268
60,,0.0,10,40.68956569484385,-73.99382883426307
61,,0.0,10,40.68961135669844,-73.99399480916341
62,,2.0,01,40.689631699450814,-73.99413251290382
63,,2.0,01,40.68957614919772,-73.99427450541073
64,,5.0,04,40.689951561132524,-73.99429077773678
65,,3.0,,40.68937372175871,-73.99312866435885
66,,2.0,05,40.689455452386895,-73.99342675444144
67,,3.0,02,40.68950661866655,-73.99361337036761
68,,5.0,04,40.68970449726393,-73.99331015370552
69,,5.0,08,40.689989551195836,-73.99747146460136
70,,0.0,,40.689683504039806,-73.99642576907966
71,,3.0,02,40.68978069858895,-73.99617097806725
72,,3.0,02,40.68975715046541,-73.99608599039814
73,,3.0,02,40.689732918605074,-73.99599853471422
74,,3.0,01,40.68970930563159,-73.99591330998945
75,,3.0,02,40.689686172420636,-73.99582982060568
76,,3.0,01,40.68966189260327,-73.99574219086811
77,,3.0,02,40.689638254288234,-73.99565687620013
78,,3.5,02,40.68961561224002,-73.99557516219828
79,,3.0,01,40.689594584605004,-73.99549927034852
80,,3.0,02,40.68957562406067,-73.99543084100237
81,,3.0,02,40.689556688343345,-73.995362500105
82,,3.0,02,40.689538118820764,-73.99529548519229
83,,3.0,01,40.689519385236004,-73.9952278719878
84,,3.0,02,40.68956337938506,-73.9949912070204
85,,3.0,01,40.68949770371729,-73.99502274455524
86,,3.0,01,40.689433058856935,-73.99505378631208
87,,3.0,02,40.68936881906746,-73.99508481254699
88,,3.0,02,40.68930414242918,-73.99511551527819
89,,3.0,02,40.68923971391789,-73.99514680718798
90,,3.0,02,40.689172973168404,-73.99517867706352
91,,3.0,02,40.68910288311815,-73.99521233192607
92,,4.0,02,40.68925704873972,-73.99536345413775
93,,4.0,02,40.689276721191,-73.99543462845786
94,,4.0,02,40.68929290296811,-73.99549317639041
95,,4.0,02,40.68930863362414,-73.9955500924198
96,,4.0,02,40.689324388306986,-73.9956070943124
97,,4.0,02,40.68934012604483,-73.9956640357764
98,,4.0,01,40.68935567577567,-73.99572030009574
99,,4.0,02,40.689375066771206,-73.9957904600218
100,,3.0,02,40.68939876852247,-73.99587621882714
101,,3.0,01,40.68942243871502,-73.99596185956685
102,,4.0,02,40.68944549674831,-73.99604529018781
103,,3.0,01,40.689465201058304,-73.99611658641825
104,,3.0,02,40.689481453846966,-73.99617539229953
105,,3.0,02,40.68949795416177,-73.99623509628222
106,,4.0,02,40.689051931496124,-73.99460681379001
107,,4.0,02,40.68913770114576,-73.9945652068785
108,,3.0,02,40.68922069315945,-73.99455313461657
109,,3.0,02,40.689285875363105,-73.99452156594512
110,,3.0,02,40.6893508983751,-73.99449007509781
111,,3.0,02,40.68941997429639,-73.9944566157519
112,,2.0,08,40.68926497061209,-73.99430405294052
113,,3.0,02,40.689240932327266,-73.9942172090746
114,,3.0,02,40.68921738050611,-73.99413209477258
115,,3.0,02,40.68919414467753,-73.99404808690524
116,,3.0,02,40.6891707042111,-73.99396336646262
