ID,neighbourhood,address,latitude,longitude,type,price,zipcode
65, Bushwick,"467 Troutman St, Brooklyn",40.7085819,-73.9211012,1b,3500,11237
66, Bushwick,"205 Himrod St, Brooklyn",40.699059500000000,-73.92118895376080,1b,2300,11237
67, Bushwick,"385 Troutman St, Brooklyn",40.7062957,-73.92346338584630,1b,3850,11237
68, Bushwick,"378 Weirfield St, Brooklyn",40.69559420689660,-73.90655903448280,1b,3200,11237
69, Bushwick,"232 Wilson Ave, Brooklyn",40.69797015,-73.92129885,1b,2500,11237
70, Bushwick,"387 Bleecker St, Brooklyn",40.70235125000000,-73.91438954565150,1b,2700,11237
71, Bushwick,"307 Grove St, Brooklyn",40.6986304,-73.9157255549859,1b,2600,11237
72, Bushwick,"301 Covert St, Brooklyn",40.6927365,-73.9062767790686,1b,3000,11237
73, Bushwick,"300 Stanhope St, Brooklyn",40.70244425,-73.91845623367590,1b,2700,11237
74, Bushwick,"596 Jefferson Ave, Brooklyn",40.68491885,-73.93415454901680,Studio,2500,11221
75, Bushwick,"384 Kosciuszko St, Brooklyn",40.6919199,-73.93883079134720,Studio,2495,11221
76, Bushwick,"1223 Bushwick Ave, Brooklyn",40.6879879,-73.9150944,Studio,2300,11221
77, Bushwick,"1222 Bushwick Ave, Brooklyn",40.6877123,-73.9154518,Studio,2250,11221
78, Bushwick,"1110 DeKalb Ave, Brooklyn",40.693662950000000,-73.92997611119950,Studio,2500,11221
79, Bushwick,"1240 Madison St, Brooklyn",40.6942721,-73.9131031,Studio,2350,11221
80, Bushwick,"212 Malcolm X Blvd, Brooklyn",40.685999500000000,-73.9299598,Studio,2600,11221
81, Bushwick,"917 Willoughby Ave, Brooklyn",40.69675695,-73.93244639072610,Studio,1600,11221
82, Bushwick,"378 Kosciuszko St, Brooklyn",40.6918661,-73.93904765000000,Studio,2200,11221
83, Bushwick,"1013 Bushwick Ave, Brooklyn",40.6918141,-73.92169873273580,1b,2750,11221
84, Bushwick,"460 Throop Ave, Brooklyn",40.688105,-73.942093,1b,2400,11221
85, Bushwick,"949 Willoughby Ave, Brooklyn",40.697913,-73.9309525782844,1b,2900,11221
86, Bushwick,"668 Bushwick Ave, Brooklyn",40.69700675,-73.93256355264730,1b,2900,11221
87, Bushwick,"914 Jefferson Ave, Brooklyn",40.6864038,-73.92113853172590,1b,2299,11221
88, Bushwick,"287 Cornelia St , Brooklyn",40.6945785,-73.911474142185,1b,2499,11221
89, Bushwick,"1002 Bushwick Ave, Brooklyn",40.6914989,-73.92233563680130,1b,3100,11221
90, Bushwick,"1086 Broadway, Brooklyn",40.6941852,-73.93085064498350,1b,2350,11221
91, Bushwick,"802 Lafayette Ave, Brooklyn",40.690914650000000,-73.94075225,1b,2700,11221
92, Bushwick,"874 Willoughby Ave, Brooklyn",40.69547255,-73.93322696529090,1b,2890,11221
93, Bushwick,"1053 Jefferson Ave, Brooklyn",40.687795050000000,-73.91696416630690,1b,2698,11221
94, Bushwick,"1065 Lafayette Ave, Brooklyn",40.692556100000000,-73.92961715,1b,2299,11221
95, Bushwick,"875 DeKalb Ave, Brooklyn",40.692712800000000,-73.9414919933784,1b,2499,11221
96, Bushwick,"499 Evergreen Ave, Brooklyn",40.6909594,-73.91627425954230,1b,3050,11221
97, Bushwick,"509 Van Buren St, Brooklyn",40.6919423,-73.9285614486937,1b,2500,11221
98, Bushwick,"455 Lexington Ave, Brooklyn",40.68867255,-73.94387990451940,1b,3100,11221
99, Bushwick,"1052 Greene Ave, Brooklyn",40.691125,-73.92564005313730,1b,2800,11221
100, Bushwick,"671 Bushwick Ave, Brooklyn",40.69755065,-73.93221184766340,1b,2750,11221
101, Bushwick,"491 Evergreen Ave, Brooklyn",40.691106950000000,-73.91656200142050,1b,3100,11221
102, Bushwick,"643 Madison St, Brooklyn",40.6870850000007,-73.9314446355826,1b,2600,11221
103, Bushwick,"1001 Bushwick Ave, Brooklyn",40.691897,-73.9219238,1b,2750,11221
104, Bushwick,"1154 Myrtle Ave, Brooklyn",40.6969461,-73.93395214640540,1b,2600,11221
105, Bushwick,"1121 Putnam Ave, Brooklyn",40.6888483,-73.9183275484367,1b,2900,11221
106, Bushwick,"1209 Dekalb Ave, Brooklyn",40.6957812,-73.92787775558090,1b,2795,11221
107, Bushwick,"507 Van Buren St, Brooklyn",40.69193355,-73.92862283189150,1b,2450,11221
108, Bushwick,"511 Van Buren St, Brooklyn",40.691975,-73.92849782373490,1b,2400,11221
109, Bushwick,"887 Lexington Ave, Brooklyn",40.6907308,-73.9253388,1b,2625,11221
110, Bushwick,"1119 Broadway, Brooklyn",40.693879950000000,-73.92940778532610,1b,2275,11221
111, Bushwick,"573 Evergreen Ave, Brooklyn",40.68938925,-73.91351598864890,1b,2100,11221
112, Bushwick,"393 Madison St, Brooklyn",40.6858345047681,-73.9426009897727,1b,2900,11221
113, Bushwick,"605 Hart St, Brooklyn",40.69807505,-73.92784641738680,1b,3100,11221
114, Bushwick,"8 Palmetto St, Brooklyn",40.68893525,-73.9206188346378,1b,3095,11221
115, Bushwick,"970A Gates Ave, Brooklyn",40.68897655,-73.9248975,1b,2550,11221
116, Bushwick,"645 Knickerbocker Ave, Brooklyn",40.695582100000000,-73.91230220673920,1b,2799,11221
117, Bushwick,"376 Kosciuszko St, Brooklyn",40.6918572,-73.93911875,1b,2950,11221
118, Bushwick,"468 Putnam Ave, Brooklyn",40.68469435,-73.94265360445240,1b,2799,11221
119, Bushwick,"536 Kosciuszko St, Brooklyn",40.69259975,-73.93250264500490,1b,2700,11221
120, Bushwick,"27 Palmetto St, Brooklyn",40.689857,-73.92086599920510,1b,3200,11221
121, Bushwick,"463A Quincy St, Brooklyn",40.6882053,-73.94130926976300,1b,2600,11221
122, Bushwick,"876 Jefferson Ave, Brooklyn",40.68628835,-73.92248762597120,1b,2350,11221
123, Bushwick,"1003 Willoughby Ave, Brooklyn",40.69901585,-73.92906222938510,1b,3000,11221
124, Bushwick,"835 Greene Ave, Brooklyn",40.690468550000000,-73.93471349538940,1b,2700,11221
125, Bushwick,"441 Hart St, Brooklyn",40.695071588235300,-73.93299829411770,1b,2300,11221
126, Bushwick,"841 Dekalb Ave, Brooklyn",40.69254995,-73.94259075,1b,2750,11221
127, Bushwick,"727 Quincy St, Brooklyn",40.68957595,-73.92947555,1b,4500,11221
128, Bushwick,"643 Madison St, Brooklyn",40.6870768645244,-73.9314446355826,1b,2800,11221
129, Bushwick,"697 DeKalb Ave, Brooklyn",40.691936050000000,-73.94806777277250,1b,2800,11221
130, Bushwick,"1024 Gates Ave, Brooklyn",40.6893222,-73.9225854,1b,2600,11221
131, Bushwick,"1336 Dekalb Ave, Brooklyn",40.6984156,-73.9248878,1b,2600,11221
132, Bushwick,"262 Van Buren St, Brooklyn",40.6907401,-73.9363017,1b,2300,11221
133,Broadway Junction,"336 Chauncey St, Brooklyn,",40.681400100000000,-73.91896174430270,Studio,2395,11233
134,Broadway Junction,"2331 Dean St, Brooklyn",40.6749024,-73.91038537167300,Studio,2200,11233
135,Broadway Junction,"1889 Atlantic Ave, Brooklyn",40.677023250000000,-73.92645560000000,Studio,2480,11233
136,Broadway Junction,"750 MacDonough St, Brooklyn",40.6839417,-73.91647369580770,Studio,2895,11233
137,Broadway Junction,"1779 Fulton St, Brooklyn",40.6793518,-73.9276347127988,Studio,2000,11233
138,Broadway Junction,"448 Hancock St, Brooklyn",40.683801200000000,-73.93736964527140,Studio,2100,11233
139,Broadway Junction,"361 Marion St, Brooklyn",40.681508300000000,-73.9148661,Studio,1995,11233
140,Broadway Junction,"1313 Herkimer St, Brooklyn",40.67765425,-73.90991786130950,Studio,2600,11233
141,Broadway Junction,"314 Stuyvesant Ave, Brooklyn",40.68403265,-73.93249101415090,1b,2850,11233
142,Broadway Junction,"656 Hancock St, Brooklyn",40.6848179,-73.9291954,1b,2350,11233
143,Broadway Junction,"666 Hancock St, Brooklyn,",40.684919,-73.9285746,1b,2299,11233
144,Broadway Junction,"350 Malcolm X Blvd, Brooklyn",40.680819,-73.92886005,1b,2500,11233
145,Broadway Junction,"312 Decatur St, Brooklyn",40.681533350000000,-73.9310108,1b,2650,11233
146,Broadway Junction,"1889 Atlantic Ave, Brooklyn",40.677023250000000,-73.92645560000000,1b,2623,11233
147,Broadway Junction,"299 Chauncey St, Brooklyn",40.68132605555560,-73.92215038888890,1b,2600,11233
148,Broadway Junction,"1889 Bergen St, Brooklyn",40.67454165,-73.91863769779180,1b,2499,11233
149,Broadway Junction,"1357 Eastern Pkwy, Brooklyn",40.66886785,-73.92332273890460,1b,1900,11233
150,Broadway Junction,"211 Marion St, Brooklyn",40.6807784,-73.92129751909300,1b,2300,11233
151,Broadway Junction,"17 Somers St, Brooklyn",40.67863319047620,-73.91224680952380,1b,2500,11233
152,Broadway Junction,"461 Hancock St, Brooklyn",40.6841857,-73.937298,1b,2700,11233
153,Broadway Junction,"345 Stuyvesant Ave, Brooklyn",40.6825624,-73.93175455492960,1b,2795,11233
154,Broadway Junction,"180 Bainbridge St, Brooklyn",40.68081385,-73.92972490625410,1b,3195,11233
155,Broadway Junction,"260 Rockaway Ave, Brooklyn",40.67374125,-73.91106437500000,1b,2650,11233
156,Broadway Junction,"1965 Pacific St, Brooklyn",40.6764164,-73.9233746,1b,2250,11233
157,Broadway Junction,"163 Macdougal St, Brooklyn",40.67989723076920,-73.91495746153850,1b,2750,11233
158,Broadway Junction,"580 Decatur St, Brooklyn",40.6828692,-73.91938970000000,1b,2725,11233
159,Broadway Junction,"762 Macon St, Brooklyn",40.6843617,-73.9200916,1b,2995,11233
160,Broadway Junction,"51 MacDougal St, Brooklyn",40.67942145,-73.92020871077590,1b,2100,11233
161,Broadway Junction,"1893 Eastern Pkwy, Brooklyn",40.677018200000000,-73.90831966737480,1b,2400,11233
162,Broadway Junction,"580 Macon St, Brooklyn",40.6834465,-73.92737740196600,1b,2700,11233
163,North Side,"164 S 3rd St, Brooklyn",40.7119547,-73.96144332071530,Studio,3345,11211
164,North Side,"130 Hope St, Brooklyn",40.7120769,-73.9531471,Studio,2004,11211
165,North Side,"623 Union Ave, Brooklyn",40.7190782,-73.95270255168270,Studio,1950,11211
166,North Side,"250 N 10th St, Brooklyn",40.7173021,-73.95278572573190,Studio,3761,11211
167,North Side,"139 Broadway, Brooklyn",40.7105542,-73.96345868611840,Studio,5495,11211
168,North Side,"101 Bedford Ave, Brooklyn",40.72001725,-73.95415591782640,Studio,3983,11211
169,North Side,"240 Meeker Ave, Brooklyn",40.7158783,-73.9504502,Studio,3095,11211
170,North Side,"34 Berry St, Brooklyn",40.721538100000000,-73.95662269804980,Studio,3094,11211
171,North Side,"625 Driggs Ave, Brooklyn",40.7151243,-73.9581278,Studio,4050,11211
172,North Side,"123 Hope St, Brooklyn",40.71248935,-73.95312242004200,Studio,3500,11211
173,North Side,"247 N 7th St, Brooklyn",40.71599175,-73.95439829904480,Studio,3995,11211
174,North Side,"195 Bedford Ave, Brooklyn",40.7173677,-73.9580295,Studio,2650,11211
175,North Side,"395 Leonard St, Brooklyn",40.7181494,-73.9484991,1b,4605,11211
176,North Side,"332 Manhattan Ave, Brooklyn",40.7151959,-73.9460834,1b,3000,11211
177,North Side,"146 S 4th St, Brooklyn",40.7114195,-73.96240324447330,1b,4448,11211
178,North Side,"138 E 4th St, Brooklyn",40.6492078,-73.97777990981050,1b,4445,11211
179,North Side,"156 Hope St, Brooklyn",40.7116021,-73.9521433,1b,4145,11211
180,North Side,"828 Metropolitan Ave, Brooklyn",40.714480800000000,-73.94142543418780,1b,4100,11211
181,North Side,"623 Union Ave, Brooklyn",40.7190782,-73.95270255168270,1b,3750,11211
182,North Side,"286 Manhattan Ave, Brooklyn",40.71337705,-73.94573265,1b,4000,11211
183,North Side,"154 Hope St, Brooklyn",40.71181822985530,-73.9523282082537,1b,4145,11211
184,North Side,"285 Division Ave, Brooklyn",40.7073191,-73.95651295215430,1b,2499,11211
185,North Side,"250 N 10th St, Brooklyn",40.7173021,-73.95278572573190,1b,4700,11211
186,North Side,"781 Metropolitan Ave, Brooklyn",40.7148158,-73.9428813,1b,4199,11211
187,North Side,"8 Marcy Ave, Brooklyn",40.7138385,-73.9545995,1b,4495,11211
188,North Side,"140 Hope St, Brooklyn",40.71176725,-73.95248646106640,1b,4145,11211
189,North Side,"165 Marcy Ave, Brooklyn",40.7085394,-73.9576993,1b,3995,11211
190,North Side,"51 Olive St, Brooklyn",40.7143728,-73.9388855,1b,3300,11211
191,North Side,"185 S 4th St, Brooklyn",40.71120195,-73.96045577141080,1b,4354,11211
192,North Side,"319 Broadway, Brooklyn",40.708178363636400,-73.95694309090910,1b,3400,11211
193,North Side,"313 S 4th St, Brooklyn",40.7092712,-73.95525290649190,1b,3200,11211
194,North Side,"240 Meeker Ave, Brooklyn",40.7158783,-73.9504502,1b,3399,11211
195,North Side,"774 Grand St, Brooklyn",40.7116997,-73.9419586,1b,3985,11211
196,North Side,"125 Borinquen Pl, Brooklyn",40.710785,-73.9547016,1b,4547,11211
197,North Side,"130 Hope St, Brooklyn",40.7120769,-73.9531471,1b,4000,11211
198,North Side,"317 Manhattan Ave, Brooklyn",40.714731550000000,-73.94633158604000,1b,4300,11211
199,North Side,"130 Hope St, Brooklyn",40.7120769,-73.9531471,1b,3911,11211
200,North Side,"265 Powers St, Brooklyn",40.7132107,-73.93936322892160,1b,3000,11211
201,North Side,"247 N 7th St, Brooklyn",40.71599175,-73.95439829904480,1b,4900,11211
202,North Side,"205 N 8th St, Brooklyn",40.7174068,-73.95538173333330,1b,3970,11211
203,North Side,"351 S 3rd St, Brooklyn",40.7092784,-73.9534106,1b,4450,11211
204,North Side,"221 S 4th St, Brooklyn",40.7106949,-73.95919396929210,1b,4500,11211
205,North Side,"218 N 7th St, Brooklyn",40.71676,-73.9562064,1b,2600,11211
206,North Side,"365 Union Ave, Brooklyn",40.7113062,-73.9513283,1b,4395,11211
207,North Side,"4 Hope St, Brooklyn",40.71375355,-73.95778183836620,1b,3500,11211
208,North Side,"456 Grand St, Brooklyn",40.71116860869570,-73.95266313043480,1b,3850,11211
209,North Side,"8 Marcy Ave, Brooklyn",40.7138385,-73.9545995,1b,4448,11211
210,North Side,"544 Union Ave, Brooklyn",40.717195950000000,-73.95162038592940,1b,4287,11211
211,North Side,"209 Frost St, Brooklyn",40.71842145,-73.94262827196500,1b,3300,11211
212,North Side,"383 S 3rd St, Brooklyn",40.70892675,-73.95202149334640,1b,2800,11211
213,North Side,"160 Havemeyer St, Brooklyn",40.7114643,-73.9577638,1b,2850,11211
214,North Side,"218 N 8th St, Brooklyn",40.716978100000000,-73.95524698125930,1b,4800,11211
215,North Side,"113 Richardson St, Brooklyn",40.7187138683881,-73.9472919067458,1b,2995,11211
216,North Side,"353 Broadway, Brooklyn",40.70782635,-73.95564994647700,1b,2600,11211
217,North Side,"123 Hope St, Brooklyn",40.71248935,-73.95312242004200,1b,4250,11211
218,North Side,"219 S 4th St, Brooklyn",40.7107199,-73.95926283175470,1b,4500,11211
219,North Side,"949 Grand St, Brooklyn",40.713134600000000,-73.93657672883880,1b,2600,11211
220,North Side,"848 Driggs Ave, Brooklyn",40.70953342857140,-73.962485,1b,3200,11211
221,North Side,"275 S 5th St, Brooklyn",40.7094434,-73.9580983,1b,5300,11211
222,North Side,"169 Frost St, Brooklyn",40.7182382,-73.94453567885170,1b,3250,11211
223,North Side,"695 Lorimer St, Brooklyn",40.71778654545460,-73.95008981818180,1b,4700,11211
224,North Side,"710 Grand St, Brooklyn",40.711393800000000,-73.94433405982010,1b,4300,11211
225,North Side,"253 S 3rd St, Brooklyn",40.7107502,-73.95721149876480,1b,3400,11211
226,North Side,"296 Hooper St, Brooklyn",40.7066784,-73.954123612697,1b,2799,11211
227,North Side,"449 Humboldt St, Brooklyn",40.71787925,-73.94339830000000,1b,3550,11211
228,North Side,"34 Berry St, Brooklyn,",40.721538100000000,-73.95662269804980,1b,4881,11211
229,North Side,"390 S 2nd St, Brooklyn",40.7093881327525,-73.9519409067472,1b,4000,11211
230,North Side,"155 Withers St, Brooklyn",40.7174083,-73.94570235,1b,3950,11211
231,North Side,"134 Ainslie St, Brooklyn",40.71243555,-73.94952795,1b,3800,11211
232,North Side,"566 Grand St, Brooklyn",40.71097155,-73.94919485963830,1b,4995,11211
233,East Williamsburg,"265 Lorimer St, Brooklyn",40.7045495,-73.947732,Studio,3200,11206
234,East Williamsburg,"255 Lorimer St, Brooklyn",40.705093591836700,-73.94803532653060,Studio,3150,11206
235,East Williamsburg,"27 Arion Pl, Brooklyn",40.69825651020410,-73.93645534693880,Studio,2800,11206
236,East Williamsburg,"123 Melrose St, Brooklyn",40.69965605,-73.93306013504940,Studio,2795,11206
237,East Williamsburg,"101 Varet St, Brooklyn",40.7033459,-73.94144732145870,Studio,2999,11206
238,East Williamsburg,"255 McKibbin St, Brooklyn",40.7057495,-73.937396,Studio,4500,11206
239,East Williamsburg,"255 McKibbin St, Brooklyn",40.7057495,-73.937396,Studio,4000,11206
240,East Williamsburg,"817 Willoughby Ave, Brooklyn",40.695584100000000,-73.93573314540210,Studio,1850,11206
241,East Williamsburg,"1100 Myrtle Ave, Brooklyn",40.696732518518500,-73.93669874074070,Studio,3055,11206
242,East Williamsburg,"100 Hart St, Brooklyn",40.6931849,-73.9476485,1b,2395,11206
243,East Williamsburg,"54 Maujer St, Brooklyn",40.7103738,-73.9484353,1b,2695,11206
244,East Williamsburg,"10 Montieth St, Brooklyn",40.701297333333300,-73.93642875000000,1b,3300,11206
245,East Williamsburg,"255 Lorimer St, Brooklyn",40.705093591836700,-73.94803532653060,1b,3700,11206
246,East Williamsburg,"265 Lorimer St, Brooklyn",40.7045495,-73.947732,1b,3475,11206
247,East Williamsburg,"115 Stanwix St, Brooklyn",40.70189396,-73.93526604,1b,3218,11206
248,East Williamsburg,"210 Cook St, Brooklyn",40.7031368,-73.9345703,1b,3270,11206
249,East Williamsburg,"187 Meserole St, Brooklyn",40.7084427,-73.94134106605710,1b,3100,11206
250,East Williamsburg,"1100 Myrtle Ave, Brooklyn",40.696732518518500,-73.93669874074070,1b,3055,11206
251,East Williamsburg,"216 Boerum St, Brooklyn",40.706168,-73.939184,1b,3595,11206
252,East Williamsburg,"250 Moore St, Brooklyn",40.70454925,-73.93429563592760,1b,3975,11206
253,East Williamsburg,"207 Leonard St, Brooklyn",40.71089715,-73.9473525,1b,3500,11206
254,East Williamsburg,"54 Noll St, Brooklyn",40.7003395,-73.93422555111710,1b,3562,11206
255,East Williamsburg,"53 Pulaski St, Brooklyn",40.6925102,-73.9495786359287,1b,2300,11206
256,East Williamsburg,"912 Broadway, Brooklyn",40.6974467,-73.936393,1b,3250,11206
257,East Williamsburg,"148 Evergreen Ave, Brooklyn",40.699115900000000,-73.93148876103380,1b,2700,11206
258,East Williamsburg,"163 Graham Ave, Brooklyn",40.707589,-73.94349785,1b,3399,11206
259,East Williamsburg,"879 Park Ave, Brooklyn",40.69886215,-73.9399321,1b,2225,11206
260,East Williamsburg,"707 Willoughby Ave, Brooklyn",40.6950569,-73.94083235166390,1b,3400,11206
261,East Williamsburg,"817 Willoughby Ave, Brooklyn",40.695584100000000,-73.93573314540210,1b,2200,11206
262,East Williamsburg,"222 Johnson Ave, Brooklyn",40.70690432352940,-73.94073023529410,1b,3995,11206
263,East Williamsburg,"123 Melrose St, Brooklyn",40.69965605,-73.93306013504940,1b,3350,11206
264,East Williamsburg,"255 McKibbin St, Brooklyn",40.7057495,-73.937396,1b,6000,11206
265,East Williamsburg,"255 McKibbin St, Brooklyn",40.7057495,-73.937396,1b,6500,11206
266,East Williamsburg,"168 Evergreen Ave, Brooklyn",40.698941500000000,-73.93116399340080,1b,3475,11206
267,East Williamsburg,"168 Evergreen Ave, Brooklyn",40.698941500000000,-73.93116399340080,1b,3300,11206
268,East Williamsburg,"207 Johnson Ave, Brooklyn",40.7068379,-73.9415608,1b,2899,11206
269,East Williamsburg,"791 Flushing Ave, Brooklyn",40.701103850000000,-73.9410934,1b,2950,11206
270,East Williamsburg,"92 Meserole St, Brooklyn",40.70757315,-73.9462012803838,1b,2970,11206
271,East Williamsburg,"143 Meserole St, Brooklyn",40.7081128125,-73.94375137500000,1b,4595,11206
272,East Williamsburg,"153 Heyward St, Brooklyn",40.70248325,-73.95518925000000,1b,3100,11206
273,East Williamsburg,"30 Belvidere St, Brooklyn",40.6988061,-73.93652581324130,1b,2796,11206
274,East Williamsburg,"150 Noll St, Brooklyn",40.70295352638280,-73.93096898298660,1b,3238,11206
275,East Williamsburg,"108 Central Ave, Brooklyn",40.70021475,-73.9294319061299,1b,2300,11206
276,East Williamsburg,"210 Meserole St, Brooklyn",40.70817975,-73.94057595000000,1b,2490,11206
277,East Williamsburg,"31 Graham Ave, Brooklyn",40.7024575,-73.9425551,1b,2500,11206
278,East Williamsburg,"138 Scholes St, Brooklyn",40.70854175,-73.94414150764340,1b,2900,11206
279,Clint Hill,"100 Steuben St, Brooklyn",40.694424600000000,-73.96344826772390,Studio,2650,11205
280,Clint Hill,"105 Grand Ave, Brooklyn",40.694191714285700,-73.96405732653060,Studio,3400,11205
281,Clint Hill,"58 Vanderbilt Ave, Brooklyn",40.695332888888900,-73.9703794074074,Studio,3050,11205
282,Clint Hill,"72 Clermont Ave, Brooklyn",40.6954429,-73.97153356927370,Studio,2450,11205
283,Clint Hill,"109 Waverly Ave, Brooklyn",40.69459095,-73.9678686681068,Studio,2899,11205
