ID,neighbourhood,address,latitude,longitude,type,price,zipcode
87, Bushwick,"914 Jefferson Ave, Brooklyn",,,1b,2299,11221
88, Bushwick,"287 Cornelia St , Brooklyn",,,1b,2499,11221
89, Bushwick,"1002 Bushwick Ave, Brooklyn",,,1b,3100,11221
90, Bushwick,"1086 Broadway, Brooklyn",,,1b,2350,11221
91, Bushwick,"802 Lafayette Ave, Brooklyn",,,1b,2700,11221
92, Bushwick,"874 Willoughby Ave, Brooklyn",,,1b,2890,11221
93, Bushwick,"1053 Jefferson Ave, Brooklyn",,,1b,2698,11221
94, Bushwick,"1065 Lafayette Ave, Brooklyn",,,1b,2299,11221
95, Bushwick,"875 DeKalb Ave, Brooklyn",,,1b,2499,11221
96, Bushwick,"499 Evergreen Ave, Brooklyn",,,1b,3050,11221
97, Bushwick,"509 Van Buren St, Brooklyn",,,1b,2500,11221
98, Bushwick,"455 Lexington Ave, Brooklyn",,,1b,3100,11221
99, Bushwick,"1052 Greene Ave, Brooklyn",,,1b,2800,11221
100, Bushwick,"671 Bushwick Ave, Brooklyn",,,1b,2750,11221
101, Bushwick,"491 Evergreen Ave, Brooklyn",,,1b,3100,11221
102, Bushwick,"643 Madison St, Brooklyn",,,1b,2600,11221
103, Bushwick,"1001 Bushwick Ave, Brooklyn",,,1b,2750,11221
104, Bushwick,"1154 Myrtle Ave, Brooklyn",,,1b,2600,11221
105, Bushwick,"1121 Putnam Ave, Brooklyn",,,1b,2900,11221
106, Bushwick,"1209 Dekalb Ave, Brooklyn",,,1b,2795,11221
107, Bushwick,"507 Van Buren St, Brooklyn",,,1b,2450,11221
108, Bushwick,"511 Van Buren St, Brooklyn",,,1b,2400,11221
109, Bushwick,"887 Lexington Ave, Brooklyn",,,1b,2625,11221
110, Bushwick,"1119 Broadway, Brooklyn",,,1b,2275,11221
111, Bushwick,"573 Evergreen Ave, Brooklyn",,,1b,2100,11221
112, Bushwick,"393 Madison St, Brooklyn",,,1b,2900,11221
113, Bushwick,"605 Hart St, Brooklyn",,,1b,3100,11221
114, Bushwick,"8 Palmetto St, Brooklyn",,,1b,3095,11221
115, Bushwick,"970A Gates Ave, Brooklyn",,,1b,2550,11221
116, Bushwick,"645 Knickerbocker Ave, Brooklyn",,,1b,2799,11221
117, Bushwick,"376 Kosciuszko St, Brooklyn",,,1b,2950,11221
118, Bushwick,"468 Putnam Ave, Brooklyn",,,1b,2799,11221
119, Bushwick,"536 Kosciuszko St, Brooklyn",,,1b,2700,11221
120, Bushwick,"27 Palmetto St, Brooklyn",,,1b,3200,11221
121, Bushwick,"463A Quincy St, Brooklyn",,,1b,2600,11221
122, Bushwick,"876 Jefferson Ave, Brooklyn",,,1b,2350,11221
123, Bushwick,"1003 Willoughby Ave, Brooklyn",,,1b,3000,11221
124, Bushwick,"835 Greene Ave, Brooklyn",,,1b,2700,11221
125, Bushwick,"441 Hart St, Brooklyn",,,1b,2300,11221
126, Bushwick,"841 Dekalb Ave, Brooklyn",,,1b,2750,11221
127, Bushwick,"727 Quincy St, Brooklyn",,,1b,4500,11221
128, Bushwick,"643 Madison St, Brooklyn",,,1b,2800,11221
129, Bushwick,"697 DeKalb Ave, Brooklyn",,,1b,2800,11221
130, Bushwick,"1024 Gates Ave, Brooklyn",,,1b,2600,11221
131, Bushwick,"1336 Dekalb Ave, Brooklyn",,,1b,2600,11221
132, Bushwick,"262 Van Buren St, Brooklyn",,,1b,2300,11221
133,Broadway Junction,"336 Chauncey St, Brooklyn,",,,Studio,2395,11233
134,Broadway Junction,"2331 Dean St, Brooklyn",,,Studio,2200,11233
135,Broadway Junction,"1889 Atlantic Ave, Brooklyn",,,Studio,2480,11233
136,Broadway Junction,"750 MacDonough St, Brooklyn",,,Studio,2895,11233
137,Broadway Junction,"1779 Fulton St, Brooklyn",,,Studio,2000,11233
138,Broadway Junction,"448 Hancock St, Brooklyn",,,Studio,2100,11233
139,Broadway Junction,"361 Marion St, Brooklyn",,,Studio,1995,11233
140,Broadway Junction,"1313 Herkimer St, Brooklyn",,,Studio,2600,11233
141,Broadway Junction,"314 Stuyvesant Ave, Brooklyn",,,1b,2850,11233
142,Broadway Junction,"656 Hancock St, Brooklyn",,,1b,2350,11233
143,Broadway Junction,"666 Hancock St, Brooklyn, ",,,1b,2299,11233
144,Broadway Junction,"350 Malcolm X Blvd, Brooklyn",,,1b,2500,11233
145,Broadway Junction,"312 Decatur St, Brooklyn",,,1b,2650,11233
146,Broadway Junction,"1889 Atlantic Ave, Brooklyn",,,1b,2623,11233
147,Broadway Junction,"299 Chauncey St, Brooklyn",,,1b,2600,11233
148,Broadway Junction,"1889 Bergen St, Brooklyn",,,1b,2499,11233
149,Broadway Junction,"1357 Eastern Pkwy, Brooklyn",,,1b,1900,11233
150,Broadway Junction,"211 Marion St, Brooklyn",,,1b,2300,11233
151,Broadway Junction,"17 Somers St, Brooklyn",,,1b,2500,11233
152,Broadway Junction,"461 Hancock St, Brooklyn",,,1b,2700,11233
153,Broadway Junction,"345 Stuyvesant Ave, Brooklyn",,,1b,2795,11233
154,Broadway Junction,"180 Bainbridge St, Brooklyn",,,1b,3195,11233
155,Broadway Junction,"260 Rockaway Ave, Brooklyn",,,1b,2650,11233
156,Broadway Junction,"1965 Pacific St, Brooklyn",,,1b,2250,11233
157,Broadway Junction,"163 Macdougal St, Brooklyn",,,1b,2750,11233
158,Broadway Junction,"580 Decatur St, Brooklyn",,,1b,2725,11233
159,Broadway Junction,"762 Macon St, Brooklyn",,,1b,2995,11233
160,Broadway Junction,"51 MacDougal St, Brooklyn",,,1b,2100,11233
161,Broadway Junction,"1893 Eastern Pkwy, Brooklyn",,,1b,2400,11233
162,Broadway Junction,"580 Macon St, Brooklyn",,,1b,2700,11233
163,North Side,"164 S 3rd St, Brooklyn",,,Studio,3345,11211
164,North Side,"130 Hope St, Brooklyn",,,Studio,2004,11211
165,North Side,"623 Union Ave, Brooklyn",,,Studio,1950,11211
166,North Side,"250 N 10th St, Brooklyn",,,Studio,3761,11211
167,North Side,"139 Broadway, Brooklyn",,,Studio,5495,11211
168,North Side,"101 Bedford Ave, Brooklyn",,,Studio,3983,11211
169,North Side,"240 Meeker Ave, Brooklyn",,,Studio,3095,11211
170,North Side,"34 Berry St, Brooklyn",,,Studio,3094,11211
171,North Side,"625 Driggs Ave, Brooklyn",,,Studio,4050,11211
172,North Side,"123 Hope St, Brooklyn",,,Studio,3500,11211
173,North Side,"247 N 7th St, Brooklyn",,,Studio,3995,11211
174,North Side,"195 Bedford Ave, Brooklyn",,,Studio,2650,11211
